Day2(午前),D1-1,雪だるま1,「うおぉ！リーダー、その言葉で一気にテンション上がったっす！」
Day2(午前),D1-1,雪だるま2,「…逆境をチャンスって言えるの、すごい…なんだか勇気が出てきた…。」
Day2(午前),D1-1,トナカイ,「理論的リスクは残りますが…あなたの覚悟があるなら前進すべきでしょう。」
Day2(午前),D1-1,先輩サンタ,「状況をポジティブに反転させる…いいリーダーの条件だよ。」
,,,
Day2 (午後),D1-2,雪だるま1,「えっ…いいんすか？本当に助かるっす…！」
Day2 (午後),D1-2,雪だるま2,「“一緒に”って言ってもらえると安心するね…。」
Day2 (午後),D1-2,トナカイ,「負担分散は合理的です。賛成します。」
Day2 (午後),D1-2,先輩サンタ,「寄り添いながら支える…それも立派なリーダーだよ。」
,,,
Day3(午前),D1-3,雪だるま1,「新しいやり方！？いいじゃないっすか！試してみたいっす！」
Day3(午前),D1-3,雪だるま2,「柔軟に考えられるの…いいね。空気がちょっと和らぐ…。」
Day3(午前),D1-3,トナカイ,「計画の再構築…賢明な判断です。効率化は必要でしょう。」
Day3(午前),D1-3,先輩サンタ,「“変える勇気”を持てるのは強みだね。」
,,,
Day3(午後),D1-4,雪だるま1,「リーダー…そこまで言われたら腹括るしかないっす！」
Day3(午後),D1-4,雪だるま2,「責任を背負うなんて…無茶しないでね。でも…信じよう。」
Day3(午後),D1-4,トナカイ,「覚悟を持った指揮。…尊敬に値します。」
Day3(午後),D1-4,先輩サンタ,「責任ある姿勢は素晴らしい。ただ、抱え込みすぎは禁物だよ。」
,,,
Day4(午前),D1-5,雪だるま1,「いいっすね！オールでもなんでも付き合いますよ！」
Day4(午前),D1-5,雪だるま2,「そこまでやるの…？ちょっと無茶だけど、熱意は伝わる…。」
Day4(午前),D1-5,トナカイ,「非効率ですが…士気向上の効果は高いでしょう。」
Day4(午前),D1-5,先輩サンタ,「諦めない姿勢は立派だよ。けど体調は大事にね。」
,,,
Day4(午後),D1-6,雪だるま1,「そうっすね…ちょっと感情的になってたかも…。整理しよう。」
Day4(午後),D1-6,雪だるま2,「冷静にしてくれてありがとう…落ち着いて話せそう…。」
Day4(午後),D1-6,トナカイ,「事実に基づく判断は賛成です。混乱も収まるでしょう。」
Day4(午後),D1-6,先輩サンタ,「状況を見える化する…いい判断だね。」
,,,
Day5(午前),D1-7,雪だるま1,「リーダー…めっちゃ心強いっす…。がんばります…！」
Day5(午前),D1-7,雪だるま2,「支えてくれるって…うれしい。無理しないでね…。」
Day5(午前),D1-7,トナカイ,「適材適所の支援…合理的です。問題ありません。」
Day5(午前),D1-7,先輩サンタ,「背中を押しつつ支える…素敵なリーダーだよ。」
