Day2(午前),H1-1,雪だるま1,「リーダー…！なんかビシッと背筋伸びたっす！やり切るっす！」
Day2(午前),H1-1,雪だるま2,「妥協しない姿勢…うん、最後の仕上げに相応しいね。」
Day2(午前),H1-1,トナカイ,「完璧基準、大賛成です。精度の最終チェックに入ります。」
Day2(午前),H1-1,先輩サンタ,「その意気だよ。ゴール直前の集中力が質を決めるんだ。」
,,,
Day2 (午後),H1-2,雪だるま1,「リーダー…！任せてばかりじゃダメっすよ！でも…ありがとうっす！」
Day2 (午後),H1-2,雪だるま2,「あなたがそこまでしてくれるなら…私たちも気を抜けないね。」
Day2 (午後),H1-2,トナカイ,「責任を分担してくれる姿勢…私も残りの確認を全力でやります。」
Day2 (午後),H1-2,先輩サンタ,「背中で引っ張るタイプのリーダーだね。いい信頼関係だよ。」
,,,
Day3(午前),H1-3,雪だるま1,「え、まだ見直すとこあんの！？…けど確かに効率上がりそうっす。」
Day3(午前),H1-3,雪だるま2,「冷静に整理すると、案外ムダって多いよね…。」
Day3(午前),H1-3,トナカイ,「工程整理は良い判断です。すぐ見直しに着手します。」
Day3(午前),H1-3,先輩サンタ,「最終工程の見直しは勇気がいるけど、効果は大きいよ。」
,,,
Day3(午後),H1-4,雪だるま1,「リーダー…！俺の意見も聞いてくれるの、ほんと嬉しいっす！」
Day3(午後),H1-4,雪だるま2,「全員で作るって感じがして、安心するね…。」
Day3(午後),H1-4,トナカイ,「意見の統合は手間ですが、確かに最善策につながります。」
Day3(午後),H1-4,先輩サンタ,「みんなを巻き込むリーダーシップ…チームが強くなるね。」
,,,
Day4(午前),H1-5,雪だるま1,「新しいやり方！？わくわくしてきたっす！」
Day4(午前),H1-5,雪だるま2,「うまくいくかな…でもリーダーが言うなら、挑戦してみたい。」
Day4(午前),H1-5,トナカイ,「リスクはありますが…可能性は感じます。試してみましょう。」
Day4(午前),H1-5,先輩サンタ,「挑戦心を忘れないリーダーは、いつだって未来を拓くよ。」
,,,
Day4(午後),H1-6,雪だるま1,「え…！休んでいいんすか！？ちょっとだけ…ありがたいっす…。」
Day4(午後),H1-6,雪だるま2,「リーダーが“休む勇気”をくれると、安心できるね。」
Day4(午後),H1-6,トナカイ,「効率は落ちるどころか回復します。休憩提案は理にかなっています。」
Day4(午後),H1-6,先輩サンタ,「いい判断だよ。心のゆとりが最高のパフォーマンスを生むんだ。」
,,,
Day5(午前),H1-7,雪だるま1,「焦ってたかも…！リーダーの言葉で冷静になれたっす。」
Day5(午前),H1-7,雪だるま2,「一つずつ…うん、これなら間違いが減りそうだよ。」
Day5(午前),H1-7,トナカイ,「慎重さは最終工程で最も重要です。賛成します。」
Day5(午前),H1-7,先輩サンタ,「落ち着きを与えるリーダーは、勝負どころで強いんだ。」
